dist,radius
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,inf
0,inf
0.000214936,1.675243554
0.000796371,1.757056779
0.000796371,1.757056779
0.001486116,1.674403706
0.00201873,4.151374975
0.004065998,1.701261573
0.008193002,2.423539143
0.008193002,2.423539143
0.012270834,3.179092014
0.01430115,5.335212338
0.021662338,4.528857351
0.043045897,2.461333549
0.043045897,2.461333549
0.079646627,3.313053378
0.129785262,4.114339684
0.190267279,5.094523806
0.255269366,6.730859723
0.255269366,6.730859723
0.320783655,9.983691257
0.382030899,18.09556516
0.43760907,58.99523678
0.487529375,110.7214079
0.487529375,110.7214079
0.534810055,42.20424692
0.58425476,34.11354717
0.639567368,33.02361621
0.702293395,31.34932091
0.702293395,31.34932091
0.772922794,26.64873242
0.850219686,20.45052233
0.93330797,15.28364383
1.019321963,11.55678251
1.019321963,11.55678251
1.105201498,9.070781131
1.187097499,7.500999675
1.263050985,6.526498141
1.333387798,6.12302559
1.333387798,6.12302559
1.398146629,6.331303837
1.455850098,7.585961303
1.505059278,12.48758703
1.543626944,125.8631308
1.543626944,125.8631308
1.572568422,12.59090344
1.595318313,5.778042137
1.614678383,3.837964959
1.634319754,3.026442375
1.634319754,3.026442375
1.65745137,2.676620211
1.686601126,2.543480011
1.720896926,2.511298516
1.755152115,2.511327446
1.755152115,2.511327446
1.785221967,2.504169705
1.807286352,2.469139944
1.821204707,2.407322528
1.831389419,2.338420555
1.831389419,2.338420555
1.842186655,2.27601116
1.858762154,2.237826052
1.88266259,2.253054877
1.911890711,2.36153955
1.911890711,2.36153955
1.949700641,2.639574709
1.998971755,3.248384428
2.066136013,4.608319456
2.161914379,8.461871577
2.161914379,8.461871577
2.285060094,38.62689259
2.427302438,16.67113608
2.574565445,6.507150045
2.70604739,3.752315073
2.70604739,3.752315073
2.809203724,2.591620643
2.874510759,2.214611436
2.905433322,2.157448055
2.918892664,2.146771684
2.918892664,2.146771684
2.931346024,2.130058046
2.943435375,2.133785755
2.951521188,2.143867638
2.956493276,2.107580195
2.956493276,2.107580195
2.963131964,1.9669309
2.973111039,1.787309826
2.986228407,1.792880955
3.002171491,1.896926145
3.002171491,1.896926145
3.018969727,1.66459944
3.034166314,1.143919045
3.047078635,0.748702891
3.057105945,0.618104733
3.057105945,0.618104733
3.064088524,0.709000947
3.068294336,1.276935103
3.070065291,3.955278311
3.071112225,23.37381967
3.071112225,23.37381967
3.07354766,10.75519457
3.07805604,3.691875382
3.082150507,2.278796291
3.082948542,1.918845119
3.082948542,1.918845119
3.090096735,2.164728991
3.110250078,5.511881818
