dist,radius
431.9999695,156.0864716
435,142.2210236
438.9999695,132.6244202
442,126.7151566
445,120.6694107
449,115.8173981
452,113.1140594
454.9999695,112.7415237
458,111.8365021
461.9999695,111.8365021
465,115.3030319
468,121.6383896
471,130.0351868
475,138.6378632
478,152.9750366
481,173.2565613
484.9999695,196.5950623
488,217.4609833
492,249.9515686
494.9999695,288.2301941
498.9999695,321.4875488
502.0000305,335.6261597
506.0000305,337.2411499
509,335.6261597
513,331.2619019
517,313.3951416
520.000061,293.8219604
524.000061,276.9135132
528,263.0655212
531,248.1565247
535,235.102829
539.000061,225.9471283
542,221.1346588
546,215.7345886
550,213.3564148
554,213.3564148
557.000061,216.8361969
561.000061,222.2439575
565,226.2159882
569,233.3911591
573,243.2460785
576.000061,254.05336
580.000061,263.7435303
584.000061,275.3470459
588,288.2163391
592,299.6588745
596,307.1645203
600,310.4779663
604.000061,314.8796997
608.000061,316.5539551
612.000061,316.5539551
616,316.5539551
620,316.9377136
624,317.5672913
628,320.2479248
632,326.2092285
636.000061,335.9197083
640.000061,349.3328552
644,361.3755798
648,383.0316467
652,417.506958
656,464.7570801
659.000061,517.0690308
663.000061,598.6720581
667,720.5928345
670,720.5928345
674,360.7181091
678.000061,360.7181091
681,650.5819702
685,650.5819702
688,517.5880127
692.000061,414.0894165
695,346.8049622
699,305.1765747
702,264.8217773
705.000061,232.0936432
709.000061,209.0074615
712,194.1751709
715.000061,181.0186157
719.000061,169.9299622
722,162.3232574
725,158.4886322
729.000061,157.711792
732,155.7980347
735,155.7980347
739,157.3230743
742.000061,158.7975311
745,158.8143158
749,158.7975311
752.000061,158.0518646
756.000061,153.7005005
759,148.0421448
763,143.3500366
766.000061,139.5587616
770.000061,136.1861115
773,136.1861115
776,136.3077698
780.000061,140.4819336
783.000061,142.5225677
787,148.5856628
790,159.3129578
794,173.99646
798.000061,190.1596527
801,211.0422516
805,241.0896149
809,277.8213196
812.000061,313.4085083
816.000061,341.1195374
820,382.1113892
824,425.9462585
827,470.1090698
831,512.3599243
835.000061,549.3129883
839.000061,595.0435791
843,649.7741089
847,702.744812
851,721.239502
855,730.2225342
859,721.239502
862.000061,697.6776733
866,634.15625
870,568.1824951
874,515.0029907
878,473.5487976
881.000061,430.7745667
885.000061,393.8399658
889,366.2147522
893,347.0236206
896,328.5500488
900.000061,311.1521301
904.000061,295.7717896
907,283.1114807
911,273.2048645
914.000061,263.4639587
918.000061,253.1993408
921,243.2146301
924,234.3934326
928.000061,226.9896698
931,219.9869232
934,211.8910065
937.000061,203.2319641
941.000061,194.8647308
944,187.3968811
947,180.8231201
950.000061,173.0234985
953,164.7337646
957,157.0220795
960.000061,150.594574
963,144.9773865
966,138.8794403
969.000061,133.2128601
973.000061,128.8018646
976,125.9681091
979.000061,122.9312973
982,120.6136932
985,119.8597336
988.000061,119.8597336
991,121.3606262
995.000061,122.2371979
997.999939,124.7021103
1000.999939,128.910141
1003.999939,134.5314178
1007,140.9895935
1010.999939,147.4242554
1013.999939,157.0167542
1016.999939,169.8524628
1020.999878,184.9189453
1023.999939,200.4902802
1028,219.1627197
1031,245.1152649
1035,278.4899292
1038,316.3884277
1041.999878,353.3085632
1046,410.3765564
1048.999878,492.9224243
1053,604.6828003
1056.999878,728.0600586
1060,803.3120117
1064,803.3120117
1068,611.5958862
1071.999878,611.5958862
1074.999878,718.1074219
1079,718.1074219
1082,644.0028076
1086,523.2341309
1089,416.7181396
1092.999878,341.1026001
1096,291.403656
1099.999878,258.1858826
1102.999878,226.0442657
1106,199.1087799
1110,179.0914764
1112.999878,165.3199005
1115.999878,153.2995453
1119,142.411911
1122,134.1702728
1125,129.2572174
1129,127.4003372
1132,124.5852661
1135,124.3740005
1138,124.3740005
1140.999878,125.7640381
1143.999878,126.3355331
1147,126.3355331
1150,126.2216187
1153,122.0934296
1156,115.4783325
1158.999878,108.8162231
1162,103.9747849
1165,98.3251038
1168,93.6645966
1171,91.1161499
1173.999878,90.7956848
1176.999878,89.074295
1180,89.074295
1183,91.7747498
1186,96.973793
1189,103.6622162
1191,111.3877258
1194,123.4170685
1196.999878,138.0675201
1199.999878,150.4724731
1203,156.3642426
1206,165.8179016
1209,165.8179016
1212,162.5236206
1216,152.7745667
1219,143.9281006
